index,committer,datetime,cash,amount,asset,debt,net_asset,share,net_price
1,HoldingUnion,2021-01-01 00:00:00,1000000.000000,0.000000,1000000.000000,0.000000,1000000.000000,1000000.000000,1.000000
2,HoldingUnion,2021-01-01 00:59:00,486823.030000,513100.000000,999923.030000,0.000000,999923.030000,1000000.000000,0.999900
3,HoldingUnion,2021-01-04 15:59:00,486823.030000,518360.880000,1005183.910000,0.000000,1005183.910000,1000000.000000,1.005200
4,HoldingUnion,2021-01-05 15:59:00,486823.030000,527981.750000,1014804.780000,0.000000,1014804.780000,1000000.000000,1.014800
5,HoldingUnion,2021-01-06 15:59:00,486823.030000,532743.600000,1019566.630000,0.000000,1019566.630000,1000000.000000,1.019600
6,HoldingUnion,2021-01-07 15:59:00,486823.030000,544113.720000,1030936.750000,0.000000,1030936.750000,1000000.000000,1.030900
7,HoldingUnion,2021-01-08 15:59:00,486823.030000,541392.670000,1028215.700000,0.000000,1028215.700000,1000000.000000,1.028200
8,HoldingUnion,2021-01-11 15:59:00,486823.030000,535270.290000,1022093.320000,0.000000,1022093.320000,1000000.000000,1.022100
9,HoldingUnion,2021-01-12 15:59:00,486823.030000,550819.180000,1037642.210000,0.000000,1037642.210000,1000000.000000,1.037600
10,HoldingUnion,2021-01-13 15:59:00,486823.030000,548681.200000,1035504.230000,0.000000,1035504.230000,1000000.000000,1.035500
11,HoldingUnion,2021-01-14 15:59:00,486823.030000,538671.610000,1025494.640000,0.000000,1025494.640000,1000000.000000,1.025500
12,HoldingUnion,2021-01-15 15:59:00,486823.030000,537019.540000,1023842.570000,0.000000,1023842.570000,1000000.000000,1.023800
13,HoldingUnion,2021-01-18 15:59:00,486823.030000,542828.890000,1029651.920000,0.000000,1029651.920000,1000000.000000,1.029700
14,HoldingUnion,2021-01-19 15:59:00,486823.030000,535444.130000,1022267.160000,0.000000,1022267.160000,1000000.000000,1.022300
15,HoldingUnion,2021-01-20 15:59:00,486823.030000,538398.040000,1025221.070000,0.000000,1025221.070000,1000000.000000,1.025200
16,HoldingUnion,2021-01-21 15:59:00,486823.030000,547653.600000,1034476.630000,0.000000,1034476.630000,1000000.000000,1.034500
17,HoldingUnion,2021-01-22 15:59:00,486823.030000,547948.990000,1034772.020000,0.000000,1034772.020000,1000000.000000,1.034800
18,HoldingUnion,2021-01-25 15:59:00,486823.030000,554447.570000,1041270.600000,0.000000,1041270.600000,1000000.000000,1.041300
19,HoldingUnion,2021-01-26 15:59:00,486823.030000,542631.960000,1029454.990000,0.000000,1029454.990000,1000000.000000,1.029500
20,HoldingUnion,2021-01-27 15:59:00,486823.030000,543616.600000,1030439.630000,0.000000,1030439.630000,1000000.000000,1.030400
21,HoldingUnion,2021-01-28 15:59:00,486823.030000,530225.570000,1017048.600000,0.000000,1017048.600000,1000000.000000,1.017000
22,HoldingUnion,2021-01-29 15:59:00,486823.030000,526582.420000,1013405.450000,0.000000,1013405.450000,1000000.000000,1.013400
23,HoldingUnion,2021-02-01 15:59:00,486823.030000,532785.620000,1019608.650000,0.000000,1019608.650000,1000000.000000,1.019600
24,HoldingUnion,2021-02-02 15:59:00,486823.030000,540662.690000,1027485.720000,0.000000,1027485.720000,1000000.000000,1.027500
25,HoldingUnion,2021-02-03 15:59:03,757169.890000,270035.960000,1027205.850000,0.000000,1027205.850000,1000000.000000,1.027200
26,HoldingUnion,2021-02-04 15:59:00,757169.890000,269494.410000,1026664.300000,0.000000,1026664.300000,1000000.000000,1.026700
27,HoldingUnion,2021-02-05 15:59:00,757169.890000,269888.260000,1027058.150000,0.000000,1027058.150000,1000000.000000,1.027100
28,HoldingUnion,2021-02-08 15:59:00,757169.890000,273432.950000,1030602.840000,0.000000,1030602.840000,1000000.000000,1.030600
29,HoldingUnion,2021-02-09 15:59:02,196631.980000,840680.770000,1037312.750000,0.000000,1037312.750000,1000000.000000,1.037300
30,HoldingUnion,2021-02-10 15:59:00,196631.980000,857665.710000,1054297.690000,0.000000,1054297.690000,1000000.000000,1.054300
31,HoldingUnion,2021-02-18 15:59:00,196631.980000,851314.820000,1047946.800000,0.000000,1047946.800000,1000000.000000,1.047900
32,HoldingUnion,2021-02-19 15:59:00,196631.980000,856041.060000,1052673.040000,0.000000,1052673.040000,1000000.000000,1.052700
33,HoldingUnion,2021-02-22 15:59:00,196631.980000,825468.170000,1022100.150000,0.000000,1022100.150000,1000000.000000,1.022100
34,HoldingUnion,2021-02-23 15:59:00,196631.980000,823252.740000,1019884.720000,0.000000,1019884.720000,1000000.000000,1.019900
35,HoldingUnion,2021-02-24 15:59:00,196631.980000,801541.550000,998173.530000,0.000000,998173.530000,1000000.000000,0.998200
36,HoldingUnion,2021-02-25 15:59:00,196631.980000,809074.000000,1005705.980000,0.000000,1005705.980000,1000000.000000,1.005700
37,HoldingUnion,2021-02-26 15:59:00,196631.980000,787067.430000,983699.410000,0.000000,983699.410000,1000000.000000,0.983700
38,HoldingUnion,2021-03-01 15:59:03,730721.050000,266737.430000,997458.480000,0.000000,997458.480000,1000000.000000,0.997500
39,HoldingUnion,2021-03-02 15:59:00,730721.050000,263340.440000,994061.490000,0.000000,994061.490000,1000000.000000,0.994100
40,HoldingUnion,2021-03-03 15:59:00,730721.050000,268509.770000,999230.820000,0.000000,999230.820000,1000000.000000,0.999200
41,HoldingUnion,2021-03-04 15:59:00,730721.050000,260288.080000,991009.130000,0.000000,991009.130000,1000000.000000,0.991000
42,HoldingUnion,2021-03-05 15:59:00,730721.050000,259254.210000,989975.260000,0.000000,989975.260000,1000000.000000,0.990000
43,HoldingUnion,2021-03-08 15:59:00,730721.050000,250097.110000,980818.160000,0.000000,980818.160000,1000000.000000,0.980800
44,HoldingUnion,2021-03-09 15:59:00,730721.050000,245124.710000,975845.760000,0.000000,975845.760000,1000000.000000,0.975800
45,HoldingUnion,2021-03-10 15:59:00,730721.050000,246158.570000,976879.620000,0.000000,976879.620000,1000000.000000,0.976900
46,HoldingUnion,2021-03-11 15:59:00,730721.050000,252509.470000,983230.520000,0.000000,983230.520000,1000000.000000,0.983200
47,HoldingUnion,2021-03-12 15:59:00,730721.050000,253149.480000,983870.530000,0.000000,983870.530000,1000000.000000,0.983900
48,HoldingUnion,2021-03-15 15:59:00,730721.050000,248127.840000,978848.890000,0.000000,978848.890000,1000000.000000,0.978800
49,HoldingUnion,2021-03-16 15:59:00,730721.050000,249752.490000,980473.540000,0.000000,980473.540000,1000000.000000,0.980500
50,HoldingUnion,2021-03-17 15:59:00,730721.050000,250884.820000,981605.870000,0.000000,981605.870000,1000000.000000,0.981600
51,HoldingUnion,2021-03-18 15:59:00,730721.050000,252854.090000,983575.140000,0.000000,983575.140000,1000000.000000,0.983600
52,HoldingUnion,2021-03-19 15:59:00,730721.050000,246010.880000,976731.930000,0.000000,976731.930000,1000000.000000,0.976700
53,HoldingUnion,2021-03-22 15:59:00,730721.050000,248817.090000,979538.140000,0.000000,979538.140000,1000000.000000,0.979500
54,HoldingUnion,2021-03-23 15:59:00,730721.050000,246601.660000,977322.710000,0.000000,977322.710000,1000000.000000,0.977300
55,HoldingUnion,2021-03-24 15:59:00,730721.050000,242860.050000,973581.100000,0.000000,973581.100000,1000000.000000,0.973600
56,HoldingUnion,2021-03-25 15:59:00,730721.050000,242663.120000,973384.170000,0.000000,973384.170000,1000000.000000,0.973400
57,HoldingUnion,2021-03-26 15:59:00,730721.050000,247783.220000,978504.270000,0.000000,978504.270000,1000000.000000,0.978500
58,HoldingUnion,2021-03-29 15:59:00,730721.050000,248275.540000,978996.590000,0.000000,978996.590000,1000000.000000,0.979000
59,HoldingUnion,2021-03-30 15:59:00,730721.050000,250441.730000,981162.780000,0.000000,981162.780000,1000000.000000,0.981200
60,HoldingUnion,2021-03-31 15:59:00,730721.050000,248620.160000,979341.210000,0.000000,979341.210000,1000000.000000,0.979300
61,HoldingUnion,2021-04-01 15:59:00,730721.050000,251672.530000,982393.580000,0.000000,982393.580000,1000000.000000,0.982400
62,HoldingUnion,2021-04-02 15:59:00,730721.050000,254084.880000,984805.930000,0.000000,984805.930000,1000000.000000,0.984800
63,HoldingUnion,2021-04-06 15:59:02,225232.450000,758119.180000,983351.630000,0.000000,983351.630000,1000000.000000,0.983400
64,HoldingUnion,2021-04-07 15:59:00,225232.450000,752949.850000,978182.300000,0.000000,978182.300000,1000000.000000,0.978200
65,HoldingUnion,2021-04-08 15:59:00,225232.450000,754574.500000,979806.950000,0.000000,979806.950000,1000000.000000,0.979800
66,HoldingUnion,2021-04-09 15:59:00,225232.450000,744088.140000,969320.590000,0.000000,969320.590000,1000000.000000,0.969300
67,HoldingUnion,2021-04-12 15:59:00,225232.450000,731681.750000,956914.200000,0.000000,956914.200000,1000000.000000,0.956900
68,HoldingUnion,2021-04-13 15:59:00,225232.450000,730647.880000,955880.330000,0.000000,955880.330000,1000000.000000,0.955900
69,HoldingUnion,2021-04-14 15:59:03,715652.000000,244927.780000,960579.780000,0.000000,960579.780000,1000000.000000,0.960600
70,HoldingUnion,2021-04-15 15:59:00,715652.000000,243549.290000,959201.290000,0.000000,959201.290000,1000000.000000,0.959200
71,HoldingUnion,2021-04-16 15:59:00,715652.000000,244337.000000,959989.000000,0.000000,959989.000000,1000000.000000,0.960000
72,HoldingUnion,2021-04-19 15:59:00,715652.000000,250540.200000,966192.200000,0.000000,966192.200000,1000000.000000,0.966200
73,HoldingUnion,2021-04-20 15:59:00,715652.000000,250146.340000,965798.340000,0.000000,965798.340000,1000000.000000,0.965800
74,HoldingUnion,2021-04-21 15:59:00,715652.000000,250737.120000,966389.120000,0.000000,966389.120000,1000000.000000,0.966400
75,HoldingUnion,2021-04-22 15:59:00,715652.000000,250540.200000,966192.200000,0.000000,966192.200000,1000000.000000,0.966200
76,HoldingUnion,2021-04-23 15:59:02,209474.050000,759153.050000,968627.100000,0.000000,968627.100000,1000000.000000,0.968600
77,HoldingUnion,2021-04-26 15:59:00,209474.050000,749700.560000,959174.610000,0.000000,959174.610000,1000000.000000,0.959200
78,HoldingUnion,2021-04-27 15:59:00,209474.050000,751620.590000,961094.640000,0.000000,961094.640000,1000000.000000,0.961100
79,HoldingUnion,2021-04-28 15:59:00,209474.050000,757233.010000,966707.060000,0.000000,966707.060000,1000000.000000,0.966700
80,HoldingUnion,2021-04-29 15:59:00,209474.050000,764026.990000,973501.040000,0.000000,973501.040000,1000000.000000,0.973500
81,HoldingUnion,2021-04-30 15:59:00,209474.050000,757380.700000,966854.750000,0.000000,966854.750000,1000000.000000,0.966900
82,HoldingUnion,2021-05-06 15:59:00,209474.050000,747485.130000,956959.180000,0.000000,956959.180000,1000000.000000,0.957000
83,HoldingUnion,2021-05-07 15:59:00,209474.050000,738475.720000,947949.770000,0.000000,947949.770000,1000000.000000,0.947900
84,HoldingUnion,2021-05-10 15:59:00,209474.050000,738328.030000,947802.080000,0.000000,947802.080000,1000000.000000,0.947800
85,HoldingUnion,2021-05-11 15:59:00,209474.050000,742168.100000,951642.150000,0.000000,951642.150000,1000000.000000,0.951600
86,HoldingUnion,2021-05-12 15:59:00,209474.050000,746746.650000,956220.700000,0.000000,956220.700000,1000000.000000,0.956200
87,HoldingUnion,2021-05-13 15:59:03,702456.590000,246207.810000,948664.400000,0.000000,948664.400000,1000000.000000,0.948700
88,HoldingUnion,2021-05-14 15:59:00,702456.590000,252411.000000,954867.590000,0.000000,954867.590000,1000000.000000,0.954900
89,HoldingUnion,2021-05-17 15:59:00,702456.590000,255414.140000,957870.730000,0.000000,957870.730000,1000000.000000,0.957900
90,HoldingUnion,2021-05-18 15:59:02,191354.730000,766537.800000,957892.530000,0.000000,957892.530000,1000000.000000,0.957900
91,HoldingUnion,2021-05-19 15:59:00,191354.730000,764470.070000,955824.800000,0.000000,955824.800000,1000000.000000,0.955800
92,HoldingUnion,2021-05-20 15:59:00,191354.730000,766537.800000,957892.530000,0.000000,957892.530000,1000000.000000,0.957900
93,HoldingUnion,2021-05-21 15:59:00,191354.730000,758414.570000,949769.300000,0.000000,949769.300000,1000000.000000,0.949800
94,HoldingUnion,2021-05-24 15:59:00,191354.730000,762550.030000,953904.760000,0.000000,953904.760000,1000000.000000,0.953900
95,HoldingUnion,2021-05-25 15:59:00,191354.730000,786772.040000,978126.770000,0.000000,978126.770000,1000000.000000,0.978100
96,HoldingUnion,2021-05-26 15:59:00,191354.730000,786919.730000,978274.460000,0.000000,978274.460000,1000000.000000,0.978300
97,HoldingUnion,2021-05-27 15:59:00,191354.730000,789725.940000,981080.670000,0.000000,981080.670000,1000000.000000,0.981100
98,HoldingUnion,2021-05-28 15:59:00,191354.730000,787510.510000,978865.240000,0.000000,978865.240000,1000000.000000,0.978900
99,HoldingUnion,2021-05-31 15:59:00,191354.730000,788396.680000,979751.410000,0.000000,979751.410000,1000000.000000,0.979800
100,HoldingUnion,2021-06-01 15:59:00,191354.730000,789578.250000,980932.980000,0.000000,980932.980000,1000000.000000,0.980900
101,HoldingUnion,2021-06-02 15:59:00,191354.730000,783227.350000,974582.080000,0.000000,974582.080000,1000000.000000,0.974600
102,HoldingUnion,2021-06-03 15:59:00,191354.730000,777171.850000,968526.580000,0.000000,968526.580000,1000000.000000,0.968500
103,HoldingUnion,2021-06-04 15:59:00,191354.730000,782045.790000,973400.520000,0.000000,973400.520000,1000000.000000,0.973400
104,HoldingUnion,2021-06-07 15:59:00,191354.730000,781159.620000,972514.350000,0.000000,972514.350000,1000000.000000,0.972500
105,HoldingUnion,2021-06-08 15:59:00,191354.730000,774956.430000,966311.160000,0.000000,966311.160000,1000000.000000,0.966300
106,HoldingUnion,2021-06-09 15:59:00,191354.730000,776137.990000,967492.720000,0.000000,967492.720000,1000000.000000,0.967500
107,HoldingUnion,2021-06-10 15:59:00,191354.730000,781159.620000,972514.350000,0.000000,972514.350000,1000000.000000,0.972500
108,HoldingUnion,2021-06-11 15:59:00,191354.730000,773922.560000,965277.290000,0.000000,965277.290000,1000000.000000,0.965300
109,HoldingUnion,2021-06-15 15:59:00,191354.730000,765208.550000,956563.280000,0.000000,956563.280000,1000000.000000,0.956600
110,HoldingUnion,2021-06-16 15:59:03,695082.140000,251574.060000,946656.200000,0.000000,946656.200000,1000000.000000,0.946700
111,HoldingUnion,2021-06-17 15:59:00,695082.140000,252115.610000,947197.750000,0.000000,947197.750000,1000000.000000,0.947200
112,HoldingUnion,2021-06-18 15:59:00,695082.140000,252361.770000,947443.910000,0.000000,947443.910000,1000000.000000,0.947400
113,HoldingUnion,2021-06-21 15:59:00,695082.140000,252017.150000,947099.290000,0.000000,947099.290000,1000000.000000,0.947100
114,HoldingUnion,2021-06-22 15:59:00,695082.140000,253297.170000,948379.310000,0.000000,948379.310000,1000000.000000,0.948400
115,HoldingUnion,2021-06-23 15:59:00,695082.140000,254823.360000,949905.500000,0.000000,949905.500000,1000000.000000,0.949900
116,HoldingUnion,2021-06-24 15:59:00,695082.140000,255463.370000,950545.510000,0.000000,950545.510000,1000000.000000,0.950500
117,HoldingUnion,2021-06-25 15:59:00,695082.140000,259451.140000,954533.280000,0.000000,954533.280000,1000000.000000,0.954500
118,HoldingUnion,2021-06-28 15:59:00,695082.140000,259894.220000,954976.360000,0.000000,954976.360000,1000000.000000,0.955000
119,HoldingUnion,2021-06-29 15:59:00,695082.140000,257235.710000,952317.850000,0.000000,952317.850000,1000000.000000,0.952300
120,HoldingUnion,2021-06-30 15:59:00,695082.140000,258761.890000,953844.030000,0.000000,953844.030000,1000000.000000,0.953800
121,HoldingUnion,2021-07-01 15:59:02,177677.680000,775990.290000,953667.970000,0.000000,953667.970000,1000000.000000,0.953700
122,HoldingUnion,2021-07-02 15:59:00,177677.680000,755165.280000,932842.960000,0.000000,932842.960000,1000000.000000,0.932800
