index,committer,datetime,crt_price,short_ma,long_ma,crt_direction
1,MAStrategy,1900-01-01 00:00:00,0.000000,0.000000,0.000000,+0
2,MAStrategy,2021-01-04 15:00:00,5.183609,0.740500,0.225400,+0
3,MAStrategy,2021-01-05 15:00:00,5.279818,1.494800,0.454900,+0
4,MAStrategy,2021-01-06 15:00:00,5.327436,2.255800,0.686600,+0
5,MAStrategy,2021-01-07 15:00:00,5.441137,3.033100,0.923100,+0
6,MAStrategy,2021-01-08 15:00:00,5.413927,3.806600,1.158500,+0
7,MAStrategy,2021-01-11 15:00:00,5.352703,4.571200,1.391200,+0
8,MAStrategy,2021-01-12 15:00:00,5.508192,5.358100,1.630700,+0
9,MAStrategy,2021-01-13 15:00:00,5.486812,5.401400,1.869300,+0
10,MAStrategy,2021-01-14 15:00:00,5.386716,5.416700,2.103500,+0
11,MAStrategy,2021-01-15 15:00:00,5.370195,5.422800,2.337000,+0
12,MAStrategy,2021-01-18 15:00:00,5.428289,5.421000,2.573000,+0
13,MAStrategy,2021-01-19 15:00:00,5.354441,5.412500,2.805800,+0
14,MAStrategy,2021-01-20 15:00:00,5.383980,5.416900,3.039900,+0
15,MAStrategy,2021-01-21 15:00:00,5.476536,5.412400,3.278000,+0
16,MAStrategy,2021-01-22 15:00:00,5.479490,5.411400,3.516200,+0
17,MAStrategy,2021-01-25 15:00:00,5.544476,5.433900,3.757300,+0
18,MAStrategy,2021-01-26 15:00:00,5.426320,5.441900,3.993200,+0
19,MAStrategy,2021-01-27 15:00:00,5.436166,5.443100,4.229600,+0
20,MAStrategy,2021-01-28 15:00:00,5.302256,5.435600,4.460100,+0
21,MAStrategy,2021-01-29 15:00:00,5.265824,5.418700,4.689100,+0
22,MAStrategy,2021-02-01 15:00:00,5.327856,5.397500,4.920700,+0
23,MAStrategy,2021-02-02 15:00:00,5.406627,5.387100,5.155800,+0
24,MAStrategy,2021-02-03 15:00:00,5.400719,5.366500,5.390600,-1
25,MAStrategy,2021-02-04 15:00:00,5.389888,5.361300,5.399600,-1
26,MAStrategy,2021-02-05 15:00:00,5.397765,5.355800,5.404700,-1
27,MAStrategy,2021-02-08 15:00:00,5.468659,5.379600,5.410800,-1
28,MAStrategy,2021-02-09 15:00:00,5.604538,5.428000,5.417900,+1
29,MAStrategy,2021-02-10 15:00:00,5.717771,5.483700,5.431100,+1
30,MAStrategy,2021-02-18 15:00:00,5.675432,5.522100,5.445200,+1
31,MAStrategy,2021-02-19 15:00:00,5.706940,5.565900,5.453800,+1
32,MAStrategy,2021-02-22 15:00:00,5.503121,5.582000,5.454500,+1
33,MAStrategy,2021-02-23 15:00:00,5.488352,5.595000,5.458900,+1
34,MAStrategy,2021-02-24 15:00:00,5.343610,5.577100,5.457800,+1
35,MAStrategy,2021-02-25 15:00:00,5.393827,5.547000,5.456300,+1
36,MAStrategy,2021-02-26 15:00:00,5.247116,5.479800,5.451600,+1
37,MAStrategy,2021-03-01 15:00:00,5.334749,5.431100,5.449500,-1
38,MAStrategy,2021-03-02 15:00:00,5.266809,5.368200,5.440400,-1
39,MAStrategy,2021-03-03 15:00:00,5.370195,5.349200,5.435600,-1
40,MAStrategy,2021-03-04 15:00:00,5.205762,5.308900,5.420900,-1
41,MAStrategy,2021-03-05 15:00:00,5.185084,5.286200,5.410400,-1
42,MAStrategy,2021-03-08 15:00:00,5.001942,5.230200,5.391500,-1
43,MAStrategy,2021-03-09 15:00:00,4.902494,5.181000,5.374100,-1
44,MAStrategy,2021-03-10 15:00:00,4.923171,5.122200,5.359200,-1
45,MAStrategy,2021-03-11 15:00:00,5.050189,5.091300,5.347200,-1
46,MAStrategy,2021-03-12 15:00:00,5.062990,5.047400,5.332200,-1
47,MAStrategy,2021-03-15 15:00:00,4.962557,5.012600,5.313200,-1
48,MAStrategy,2021-03-16 15:00:00,4.995050,4.985500,5.296000,-1
49,MAStrategy,2021-03-17 15:00:00,5.017696,4.987700,5.279500,-1
50,MAStrategy,2021-03-18 15:00:00,5.057082,5.009800,5.261600,-1
51,MAStrategy,2021-03-19 15:00:00,4.920218,5.009400,5.231800,-1
52,MAStrategy,2021-03-22 15:00:00,4.976342,4.998800,5.199600,-1
53,MAStrategy,2021-03-23 15:00:00,4.932033,4.980100,5.167300,-1
54,MAStrategy,2021-03-24 15:00:00,4.857201,4.965100,5.130300,-1
55,MAStrategy,2021-03-25 15:00:00,4.853262,4.944800,5.102100,-1
56,MAStrategy,2021-03-26 15:00:00,4.955664,4.936000,5.078900,-1
57,MAStrategy,2021-03-29 15:00:00,4.965511,4.922900,5.062500,-1
58,MAStrategy,2021-03-30 15:00:00,5.008835,4.935500,5.045700,-1
59,MAStrategy,2021-03-31 15:00:00,4.972403,4.935000,5.033800,-1
60,MAStrategy,2021-04-01 15:00:00,5.033451,4.949500,5.020700,-1
61,MAStrategy,2021-04-02 15:00:00,5.081698,4.981500,5.012600,-1
62,MAStrategy,2021-04-06 15:00:00,5.054128,5.010200,4.998900,+1
63,MAStrategy,2021-04-07 15:00:00,5.019666,5.019400,4.990800,+1
64,MAStrategy,2021-04-08 15:00:00,5.030497,5.028700,4.984100,+1
65,MAStrategy,2021-04-09 15:00:00,4.960588,5.021800,4.982300,+1
66,MAStrategy,2021-04-12 15:00:00,4.877878,5.008300,4.981200,+1
67,MAStrategy,2021-04-13 15:00:00,4.870986,4.985100,4.979000,+1
68,MAStrategy,2021-04-14 15:00:00,4.898556,4.958900,4.972400,-1
69,MAStrategy,2021-04-15 15:00:00,4.870986,4.932700,4.964000,-1
70,MAStrategy,2021-04-16 15:00:00,4.886740,4.913700,4.960700,-1
71,MAStrategy,2021-04-19 15:00:00,5.010804,4.910900,4.961400,-1
72,MAStrategy,2021-04-20 15:00:00,5.002927,4.917000,4.960800,-1
73,MAStrategy,2021-04-21 15:00:00,5.014742,4.936500,4.958900,-1
74,MAStrategy,2021-04-22 15:00:00,5.010804,4.956500,4.962900,-1
75,MAStrategy,2021-04-23 15:00:00,5.061020,4.979700,4.966500,+1
76,MAStrategy,2021-04-26 15:00:00,4.998004,4.997900,4.969400,+1
77,MAStrategy,2021-04-27 15:00:00,5.010804,5.015600,4.976100,+1
78,MAStrategy,2021-04-28 15:00:00,5.048220,5.020900,4.984600,+1
79,MAStrategy,2021-04-29 15:00:00,5.093513,5.033900,4.990600,+1
80,MAStrategy,2021-04-30 15:00:00,5.049205,5.038800,4.994200,+1
81,MAStrategy,2021-05-06 15:00:00,4.983234,5.034900,4.993100,+1
82,MAStrategy,2021-05-07 15:00:00,4.923171,5.015200,4.990900,+1
83,MAStrategy,2021-05-10 15:00:00,4.922187,5.004300,4.986100,+1
84,MAStrategy,2021-05-11 15:00:00,4.947787,4.995300,4.980300,+1
85,MAStrategy,2021-05-12 15:00:00,4.978311,4.985300,4.977000,+1
86,MAStrategy,2021-05-13 15:00:00,4.924156,4.961200,4.972800,-1
87,MAStrategy,2021-05-14 15:00:00,5.048220,4.961000,4.973600,-1
88,MAStrategy,2021-05-17 15:00:00,5.108283,4.978900,4.980000,-1
89,MAStrategy,2021-05-18 15:00:00,5.110252,5.005600,4.990100,+1
90,MAStrategy,2021-05-19 15:00:00,5.096467,5.030500,4.999900,+1
91,MAStrategy,2021-05-20 15:00:00,5.110252,5.053700,5.009100,+1
92,MAStrategy,2021-05-21 15:00:00,5.056097,5.064800,5.017200,+1
93,MAStrategy,2021-05-24 15:00:00,5.083667,5.087600,5.025700,+1
94,MAStrategy,2021-05-25 15:00:00,5.245147,5.115700,5.035900,+1
95,MAStrategy,2021-05-26 15:00:00,5.246132,5.135400,5.046500,+1
96,MAStrategy,2021-05-27 15:00:00,5.264840,5.157500,5.057400,+1
97,MAStrategy,2021-05-28 15:00:00,5.250070,5.179500,5.067800,+1
98,MAStrategy,2021-05-31 15:00:00,5.255978,5.200300,5.076300,+1
99,MAStrategy,2021-06-01 15:00:00,5.263855,5.230000,5.087800,+1
100,MAStrategy,2021-06-02 15:00:00,5.221516,5.249600,5.097000,+1
101,MAStrategy,2021-06-03 15:00:00,5.181146,5.240500,5.102800,+1
102,MAStrategy,2021-06-04 15:00:00,5.213639,5.235900,5.108000,+1
103,MAStrategy,2021-06-07 15:00:00,5.207731,5.227700,5.114900,+1
104,MAStrategy,2021-06-08 15:00:00,5.166376,5.215700,5.122800,+1
105,MAStrategy,2021-06-09 15:00:00,5.174253,5.204100,5.133800,+1
106,MAStrategy,2021-06-10 15:00:00,5.207731,5.196100,5.146200,+1
107,MAStrategy,2021-06-11 15:00:00,5.159484,5.187200,5.155400,+1
108,MAStrategy,2021-06-15 15:00:00,5.101390,5.175800,5.160700,+1
109,MAStrategy,2021-06-16 15:00:00,5.031481,5.149800,5.165400,-1
110,MAStrategy,2021-06-17 15:00:00,5.042312,5.126100,5.165100,-1
111,MAStrategy,2021-06-18 15:00:00,5.047235,5.109100,5.162500,-1
112,MAStrategy,2021-06-21 15:00:00,5.040343,5.090000,5.159400,-1
113,MAStrategy,2021-06-22 15:00:00,5.065943,5.069700,5.158100,-1
114,MAStrategy,2021-06-23 15:00:00,5.096467,5.060700,5.157500,-1
115,MAStrategy,2021-06-24 15:00:00,5.109267,5.061900,5.159800,-1
116,MAStrategy,2021-06-25 15:00:00,5.189023,5.084400,5.164400,-1
117,MAStrategy,2021-06-28 15:00:00,5.197884,5.106600,5.162400,-1
118,MAStrategy,2021-06-29 15:00:00,5.144714,5.120500,5.157900,-1
119,MAStrategy,2021-06-30 15:00:00,5.175238,5.139800,5.154000,-1
120,MAStrategy,2021-07-01 15:00:00,5.173269,5.155100,5.150700,+1
121,MAStrategy,2021-07-02 15:00:00,5.034435,5.146300,5.141100,+1
122,MAStrategy,2021-07-05 15:00:00,5.041328,5.136600,5.131400,+1
123,MAStrategy,2021-07-06 15:00:00,5.048220,5.116400,5.123900,-1
124,MAStrategy,2021-07-07 15:00:00,5.100406,5.102500,5.120400,-1
125,MAStrategy,2021-07-08 15:00:00,5.057082,5.090000,5.113500,-1
126,MAStrategy,2021-07-09 15:00:00,5.033451,5.069700,5.106000,-1
127,MAStrategy,2021-07-12 15:00:00,5.100406,5.059300,5.103100,-1
128,MAStrategy,2021-07-13 15:00:00,5.116160,5.071000,5.100600,-1
129,MAStrategy,2021-07-14 15:00:00,5.060036,5.073700,5.094200,-1
130,MAStrategy,2021-07-15 15:00:00,5.126991,5.084900,5.092700,-1
131,MAStrategy,2021-07-16 15:00:00,5.076774,5.081600,5.091700,-1
132,MAStrategy,2021-07-19 15:00:00,5.098436,5.087500,5.094600,-1
133,MAStrategy,2021-07-20 15:00:00,5.085636,5.094900,5.096500,-1
134,MAStrategy,2021-07-21 15:00:00,5.124037,5.098300,5.099800,-1
135,MAStrategy,2021-07-22 15:00:00,5.128960,5.100100,5.103700,-1
136,MAStrategy,2021-07-23 15:00:00,5.077759,5.102700,5.104200,-1
137,MAStrategy,2021-07-26 15:00:00,4.905448,5.071000,5.095900,-1
138,MAStrategy,2021-07-27 15:00:00,4.735106,5.022200,5.079600,-1
139,MAStrategy,2021-07-28 15:00:00,4.744953,4.971700,5.060300,-1
140,MAStrategy,2021-07-29 15:00:00,4.830616,4.935300,5.044300,-1
141,MAStrategy,2021-07-30 15:00:00,4.797138,4.888600,5.029200,-1
142,MAStrategy,2021-08-02 15:00:00,4.916279,4.858200,5.018000,-1
143,MAStrategy,2021-08-03 15:00:00,4.918248,4.835400,5.006900,-1
144,MAStrategy,2021-08-04 15:00:00,4.961572,4.843400,5.003700,-1
145,MAStrategy,2021-08-05 15:00:00,4.932033,4.871500,4.998900,-1
146,MAStrategy,2021-08-06 15:00:00,4.916279,4.896000,4.993200,-1
147,MAStrategy,2021-08-09 15:00:00,4.970434,4.916000,4.987600,-1
148,MAStrategy,2021-08-10 15:00:00,5.026558,4.948800,4.986200,-1
149,MAStrategy,2021-08-11 15:00:00,4.999973,4.960700,4.984800,-1
150,MAStrategy,2021-08-12 15:00:00,4.968465,4.967900,4.979000,-1
151,MAStrategy,2021-08-13 15:00:00,4.941880,4.965100,4.971500,-1
152,MAStrategy,2021-08-16 15:00:00,4.938926,4.966100,4.966200,-1
153,MAStrategy,2021-08-17 15:00:00,4.828647,4.953600,4.953200,+1
154,MAStrategy,2021-08-18 15:00:00,4.880832,4.940800,4.944700,-1
155,MAStrategy,2021-08-19 15:00:00,4.847355,4.915200,4.933800,-1
156,MAStrategy,2021-08-20 15:00:00,4.758738,4.880700,4.919600,-1
157,MAStrategy,2021-08-23 15:00:00,4.829631,4.860900,4.906800,-1
158,MAStrategy,2021-08-24 15:00:00,4.880832,4.852100,4.896000,-1
159,MAStrategy,2021-08-25 15:00:00,4.894617,4.845800,4.888000,-1
160,MAStrategy,2021-08-26 15:00:00,4.810923,4.843300,4.883900,-1
161,MAStrategy,2021-08-27 15:00:00,4.823723,4.835100,4.887800,-1
162,MAStrategy,2021-08-30 15:00:00,4.806000,4.829200,4.890400,-1
163,MAStrategy,2021-08-31 15:00:00,4.804031,4.835700,4.889300,-1
164,MAStrategy,2021-09-01 15:00:00,4.872955,4.841900,4.892600,-1
165,MAStrategy,2021-09-02 15:00:00,4.869017,4.840200,4.890500,-1
166,MAStrategy,2021-09-03 15:00:00,4.842431,4.832700,4.887200,-1
167,MAStrategy,2021-09-06 15:00:00,4.925141,4.849000,4.885600,-1
168,MAStrategy,2021-09-07 15:00:00,4.987173,4.872400,4.888000,-1
169,MAStrategy,2021-09-08 15:00:00,4.966495,4.895300,4.890200,+1
170,MAStrategy,2021-09-09 15:00:00,4.964526,4.918200,4.890000,+1
171,MAStrategy,2021-09-10 15:00:00,5.012773,4.938200,4.889400,+1
172,MAStrategy,2021-09-13 15:00:00,4.986188,4.955000,4.888800,+1
173,MAStrategy,2021-09-14 15:00:00,4.921202,4.966200,4.886700,+1
174,MAStrategy,2021-09-15 15:00:00,4.869017,4.958200,4.883500,+1
175,MAStrategy,2021-09-16 15:00:00,4.813877,4.933400,4.878100,+1
176,MAStrategy,2021-09-17 15:00:00,4.852278,4.917100,4.879100,+1
177,MAStrategy,2021-09-22 15:00:00,4.819785,4.896400,4.876500,+1
178,MAStrategy,2021-09-23 15:00:00,4.848339,4.873000,4.876500,-1
179,MAStrategy,2021-09-24 15:00:00,4.855232,4.854200,4.880700,-1
180,MAStrategy,2021-09-27 15:00:00,4.886740,4.849300,4.883200,-1
181,MAStrategy,2021-09-28 15:00:00,4.877878,4.850600,4.883100,-1
182,MAStrategy,2021-09-29 15:00:00,4.845385,4.855100,4.880900,-1
183,MAStrategy,2021-09-30 15:00:00,4.859170,4.856100,4.883000,-1
184,MAStrategy,2021-10-08 15:00:00,4.929079,4.871700,4.887600,-1
185,MAStrategy,2021-10-11 15:00:00,4.928095,4.883100,4.892900,-1
186,MAStrategy,2021-10-12 15:00:00,4.876894,4.886200,4.896100,-1
187,MAStrategy,2021-10-13 15:00:00,4.932033,4.892600,4.898600,-1
188,MAStrategy,2021-10-14 15:00:00,4.905448,4.896600,4.900200,-1
189,MAStrategy,2021-10-15 15:00:00,4.929079,4.908500,4.904000,+1
190,MAStrategy,2021-10-18 15:00:00,4.871971,4.910400,4.901700,+1
191,MAStrategy,2021-10-19 15:00:00,4.918248,4.908800,4.898700,+1
192,MAStrategy,2021-10-20 15:00:00,4.904463,4.905400,4.896000,+1
193,MAStrategy,2021-10-21 15:00:00,4.926125,4.912500,4.894300,+1
194,MAStrategy,2021-10-22 15:00:00,4.958618,4.916300,4.892000,+1
195,MAStrategy,2021-10-25 15:00:00,4.975357,4.926300,4.891500,+1
196,MAStrategy,2021-10-26 15:00:00,4.958618,4.930500,4.893100,+1
197,MAStrategy,2021-10-27 15:00:00,4.893632,4.933600,4.894200,+1
198,MAStrategy,2021-10-28 15:00:00,4.872955,4.927100,4.896800,+1
199,MAStrategy,2021-10-29 15:00:00,4.904463,4.927100,4.899000,+1
200,MAStrategy,2021-11-01 15:00:00,4.888709,4.921800,4.902000,+1
201,MAStrategy,2021-11-02 15:00:00,4.837508,4.904500,4.901600,+1
202,MAStrategy,2021-11-03 15:00:00,4.817816,4.882000,4.899900,-1
203,MAStrategy,2021-11-04 15:00:00,4.864093,4.868500,4.898900,-1
204,MAStrategy,2021-11-05 15:00:00,4.847355,4.861800,4.897600,-1
205,MAStrategy,2021-11-08 15:00:00,4.843416,4.857600,4.897500,-1
206,MAStrategy,2021-11-09 15:00:00,4.841447,4.848600,4.896800,-1
207,MAStrategy,2021-11-10 15:00:00,4.816831,4.838400,4.891900,-1
208,MAStrategy,2021-11-11 15:00:00,4.895602,4.846700,4.890500,-1
209,MAStrategy,2021-11-12 15:00:00,4.893632,4.857500,4.891200,-1
210,MAStrategy,2021-11-15 15:00:00,4.887725,4.860900,4.889300,-1
211,MAStrategy,2021-11-16 15:00:00,4.883786,4.866100,4.888300,-1
212,MAStrategy,2021-11-17 15:00:00,4.882801,4.871700,4.886300,-1
213,MAStrategy,2021-11-18 15:00:00,4.839478,4.871400,4.884900,-1
214,MAStrategy,2021-11-19 15:00:00,4.893632,4.882400,4.883800,-1
215,MAStrategy,2021-11-22 15:00:00,4.906433,4.883900,4.883900,+1
216,MAStrategy,2021-11-23 15:00:00,4.909387,4.886200,4.883200,+1
217,MAStrategy,2021-11-24 15:00:00,4.920218,4.890800,4.881500,+1
218,MAStrategy,2021-11-25 15:00:00,4.901510,4.893400,4.878300,+1
219,MAStrategy,2021-11-26 15:00:00,4.860155,4.890100,4.874000,+1
220,MAStrategy,2021-11-29 15:00:00,4.853262,4.892100,4.872300,+1
221,MAStrategy,2021-11-30 15:00:00,4.835539,4.883800,4.870600,+1
222,MAStrategy,2021-12-01 15:00:00,4.848339,4.875500,4.868200,+1
223,MAStrategy,2021-12-02 15:00:00,4.858186,4.868200,4.866900,+1
224,MAStrategy,2021-12-03 15:00:00,4.902494,4.865600,4.869700,-1
225,MAStrategy,2021-12-06 15:00:00,4.897571,4.865100,4.873200,-1
226,MAStrategy,2021-12-07 15:00:00,4.925141,4.874400,4.875800,-1
227,MAStrategy,2021-12-08 15:00:00,4.996034,4.894800,4.882300,+1
228,MAStrategy,2021-12-09 15:00:00,5.078744,4.929500,4.892500,+1
229,MAStrategy,2021-12-10 15:00:00,5.063974,4.960300,4.902200,+1
230,MAStrategy,2021-12-13 15:00:00,5.076774,4.991500,4.913500,+1
231,MAStrategy,2021-12-14 15:00:00,5.046251,5.012100,4.920000,+1
232,MAStrategy,2021-12-15 15:00:00,5.000958,5.026800,4.924700,+1
233,MAStrategy,2021-12-16 15:00:00,5.027543,5.041500,4.930800,+1
234,MAStrategy,2021-12-17 15:00:00,4.955664,5.035700,4.933900,+1
235,MAStrategy,2021-12-20 15:00:00,4.881817,5.007600,4.933900,+1
236,MAStrategy,2021-12-21 15:00:00,4.902494,4.984500,4.936600,+1
237,MAStrategy,2021-12-22 15:00:00,4.905448,4.960000,4.937100,+1
238,MAStrategy,2021-12-23 15:00:00,4.942864,4.945300,4.938700,+1
239,MAStrategy,2021-12-24 15:00:00,4.920218,4.933700,4.939200,-1
240,MAStrategy,2021-12-27 15:00:00,4.924156,4.919000,4.939400,-1
241,MAStrategy,2021-12-28 15:00:00,4.949757,4.918100,4.941500,-1
242,MAStrategy,2021-12-29 15:00:00,4.883786,4.918400,4.942500,-1
243,MAStrategy,2021-12-30 15:00:00,4.919233,4.920800,4.945300,-1
244,MAStrategy,2021-12-31 15:00:00,4.931049,4.924400,4.949500,-1
